                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.04112,                0.82278,                      1,                0.47969,              0.0004878,              0.0004878,              0.0004878
                     67,                0.04609,                0.82278,                      1,                0.48071,             0.00048427,             0.00048427,             0.00048427
                     68,                 0.0538,                0.81646,                      1,                0.48335,             0.00048074,             0.00048074,             0.00048074
                     69,                0.02957,                0.81646,                      1,                 0.4811,              0.0004772,              0.0004772,              0.0004772
                     70,                0.04786,                0.85443,                      1,                0.45664,             0.00047367,             0.00047367,             0.00047367
                     71,                0.06213,                0.81646,                      1,                0.48813,             0.00047013,             0.00047013,             0.00047013
                     72,                0.04269,                0.83544,                      1,                0.47378,              0.0004666,              0.0004666,              0.0004666
                     73,                0.03681,                 0.8481,                      1,                0.46025,             0.00046306,             0.00046306,             0.00046306
                     74,                0.04397,                0.85443,                      1,                0.45781,             0.00045953,             0.00045953,             0.00045953
                     75,                0.04224,                0.84177,                      1,                0.44961,               0.000456,               0.000456,               0.000456
                     76,                0.03788,                0.81646,                      1,                 0.4811,             0.00045246,             0.00045246,             0.00045246
                     77,                 0.0378,                0.86076,                      1,                0.45259,             0.00044893,             0.00044893,             0.00044893
                     78,                0.03718,                 0.8481,                      1,                0.46318,             0.00044539,             0.00044539,             0.00044539
                     79,                0.05334,                0.84177,                      1,                0.46597,             0.00044186,             0.00044186,             0.00044186
                     80,                0.02655,                0.81646,                      1,                0.47568,             0.00043832,             0.00043832,             0.00043832
                     81,                0.03009,                0.82278,                      1,                0.46313,             0.00043479,             0.00043479,             0.00043479
                     82,                0.02397,                 0.8481,                      1,                0.46016,             0.00043126,             0.00043126,             0.00043126
                     83,                0.04401,                0.83544,                      1,                 0.4563,             0.00042772,             0.00042772,             0.00042772
                     84,                0.03391,                0.83544,                      1,                0.45498,             0.00042419,             0.00042419,             0.00042419
                     85,                0.02725,                0.84177,                      1,                 0.4562,             0.00042065,             0.00042065,             0.00042065
                     86,                0.05263,                0.84177,                      1,                 0.4603,             0.00041712,             0.00041712,             0.00041712
                     87,                0.03738,                0.82911,                      1,                0.46768,             0.00041358,             0.00041358,             0.00041358
                     88,                0.02352,                0.82278,                      1,                0.46479,             0.00041005,             0.00041005,             0.00041005
                     89,                0.04262,                0.83544,                      1,                0.45874,             0.00040652,             0.00040652,             0.00040652
                     90,                0.01843,                0.85443,                      1,                0.45747,             0.00040298,             0.00040298,             0.00040298
                     91,                0.04134,                0.83544,                      1,                0.46104,             0.00039945,             0.00039945,             0.00039945
                     92,                0.02988,                0.84177,                      1,                0.45547,             0.00039591,             0.00039591,             0.00039591
                     93,                0.03422,                 0.8481,                      1,                0.45024,             0.00039238,             0.00039238,             0.00039238
                     94,                0.02815,                0.85443,                      1,                 0.4541,             0.00038884,             0.00038884,             0.00038884
                     95,                0.04787,                0.84177,                      1,                0.45464,             0.00038531,             0.00038531,             0.00038531
                     96,                 0.0403,                 0.8481,                      1,                0.45586,             0.00038178,             0.00038178,             0.00038178
                     97,                0.03019,                0.84177,                      1,                0.45786,             0.00037824,             0.00037824,             0.00037824
                     98,                0.03251,                0.83544,                      1,                0.46338,             0.00037471,             0.00037471,             0.00037471
                     99,                0.06408,                0.83544,                      1,                0.46504,             0.00037117,             0.00037117,             0.00037117
                    100,                0.03484,                0.81646,                      1,                0.49116,             0.00036764,             0.00036764,             0.00036764
                    101,                0.03944,                0.81013,                      1,                0.48496,              0.0003641,              0.0003641,              0.0003641
                    102,                0.04042,                0.82278,                      1,                0.47725,             0.00036057,             0.00036057,             0.00036057
                    103,                0.03124,                0.82278,                      1,                0.47666,             0.00035704,             0.00035704,             0.00035704
                    104,                0.03696,                0.84177,                      1,                0.45693,              0.0003535,              0.0003535,              0.0003535
                    105,                0.04807,                 0.8481,                      1,                0.45444,             0.00034997,             0.00034997,             0.00034997
                    106,                0.03305,                0.83544,                      1,                0.46079,             0.00034643,             0.00034643,             0.00034643
                    107,                 0.0204,                0.85443,                      1,                0.46841,              0.0003429,              0.0003429,              0.0003429
                    108,                 0.0317,                 0.8481,                      1,                0.45962,             0.00033936,             0.00033936,             0.00033936
                    109,                0.02547,                 0.8481,                      1,                0.45684,             0.00033583,             0.00033583,             0.00033583
                    110,                0.02659,                0.83544,                      1,                0.46616,              0.0003323,              0.0003323,              0.0003323
                    111,                0.04356,                0.86709,                      1,                0.45322,             0.00032876,             0.00032876,             0.00032876
                    112,                0.03165,                0.85443,                      1,                0.44863,             0.00032523,             0.00032523,             0.00032523
                    113,                0.02479,                0.84177,                      1,                0.45137,             0.00032169,             0.00032169,             0.00032169
                    114,                0.03758,                0.84177,                      1,                0.45557,             0.00031816,             0.00031816,             0.00031816
                    115,                0.03131,                0.84177,                      1,                0.45664,             0.00031462,             0.00031462,             0.00031462
                    116,                0.02304,                0.86076,                      1,                 0.4502,             0.00031109,             0.00031109,             0.00031109
                    117,                0.01759,                0.85443,                      1,                0.44707,             0.00030756,             0.00030756,             0.00030756
                    118,                0.01686,                0.86076,                      1,                0.44438,             0.00030402,             0.00030402,             0.00030402
                    119,                0.02693,                0.86076,                      1,                0.44136,             0.00030049,             0.00030049,             0.00030049
                    120,                  0.031,                0.83544,                      1,                0.45034,             0.00029695,             0.00029695,             0.00029695
                    121,                0.02517,                0.86709,                      1,                0.45117,             0.00029342,             0.00029342,             0.00029342
                    122,                0.01888,                 0.8481,                      1,                0.44927,             0.00028988,             0.00028988,             0.00028988
                    123,                0.02118,                 0.8481,                      1,                0.45103,             0.00028635,             0.00028635,             0.00028635
